date,path_1,path_1_count,path_1_uniques,path_2,path_2_count,path_2_uniques,path_3,path_3_count,path_3_uniques,path_4,path_4_count,path_4_uniques,path_5,path_5_count,path_5_uniques,path_6,path_6_count,path_6_uniques,path_7,path_7_count,path_7_uniques,path_8,path_8_count,path_8_uniques,path_9,path_9_count,path_9_uniques,path_10,path_10_count,path_10_uniques
2026-03-19,/Chocapikk/EmojifyGateVuln-ProofOfConcept,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-19,/Chocapikk/EmojifyGateVuln-ProofOfConcept,3,3,/Chocapikk/EmojifyGateVuln-ProofOfConcept/blob/main/exploit.py,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-20,/Chocapikk/EmojifyGateVuln-ProofOfConcept,3,3,/Chocapikk/EmojifyGateVuln-ProofOfConcept/blob/main/exploit.py,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-21,/Chocapikk/EmojifyGateVuln-ProofOfConcept,3,3,/Chocapikk/EmojifyGateVuln-ProofOfConcept/blob/main/exploit.py,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-22,/Chocapikk/EmojifyGateVuln-ProofOfConcept,4,4,/Chocapikk/EmojifyGateVuln-ProofOfConcept/blob/main/exploit.py,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-23,/Chocapikk/EmojifyGateVuln-ProofOfConcept,4,4,/Chocapikk/EmojifyGateVuln-ProofOfConcept/blob/main/exploit.py,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-24,/Chocapikk/EmojifyGateVuln-ProofOfConcept,4,4,/Chocapikk/EmojifyGateVuln-ProofOfConcept/blob/main/exploit.py,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-25,/Chocapikk/EmojifyGateVuln-ProofOfConcept,4,4,/Chocapikk/EmojifyGateVuln-ProofOfConcept/blob/main/exploit.py,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,/Chocapikk/EmojifyGateVuln-ProofOfConcept,4,4,/Chocapikk/EmojifyGateVuln-ProofOfConcept/blob/main/exploit.py,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-27,/Chocapikk/EmojifyGateVuln-ProofOfConcept,3,3,/Chocapikk/EmojifyGateVuln-ProofOfConcept/blob/main/exploit.py,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-28,/Chocapikk/EmojifyGateVuln-ProofOfConcept,4,4,/Chocapikk/EmojifyGateVuln-ProofOfConcept/blob/main/exploit.py,3,2,/Chocapikk/EmojifyGateVuln-ProofOfConcept/blob/main/README.md,2,1,/Chocapikk/EmojifyGateVuln-ProofOfConcept/blob/main/requirements.txt,1,1,,,,,,,,,,,,,,,,,,
2026-03-29,/Chocapikk/EmojifyGateVuln-ProofOfConcept,4,4,/Chocapikk/EmojifyGateVuln-ProofOfConcept/blob/main/exploit.py,3,2,/Chocapikk/EmojifyGateVuln-ProofOfConcept/blob/main/README.md,2,1,/Chocapikk/EmojifyGateVuln-ProofOfConcept/blob/main/requirements.txt,1,1,,,,,,,,,,,,,,,,,,
2026-03-30,/Chocapikk/EmojifyGateVuln-ProofOfConcept,4,4,/Chocapikk/EmojifyGateVuln-ProofOfConcept/blob/main/exploit.py,3,2,/Chocapikk/EmojifyGateVuln-ProofOfConcept/blob/main/README.md,2,1,/Chocapikk/EmojifyGateVuln-ProofOfConcept/blob/main/requirements.txt,1,1,,,,,,,,,,,,,,,,,,
2026-03-31,/Chocapikk/EmojifyGateVuln-ProofOfConcept,4,4,/Chocapikk/EmojifyGateVuln-ProofOfConcept/blob/main/exploit.py,3,2,/Chocapikk/EmojifyGateVuln-ProofOfConcept/blob/main/README.md,2,1,/Chocapikk/EmojifyGateVuln-ProofOfConcept/blob/main/requirements.txt,1,1,,,,,,,,,,,,,,,,,,
2026-04-01,/Chocapikk/EmojifyGateVuln-ProofOfConcept,3,3,/Chocapikk/EmojifyGateVuln-ProofOfConcept/blob/main/exploit.py,3,2,/Chocapikk/EmojifyGateVuln-ProofOfConcept/blob/main/README.md,2,1,/Chocapikk/EmojifyGateVuln-ProofOfConcept/blob/main/requirements.txt,1,1,,,,,,,,,,,,,,,,,,
2026-04-02,/Chocapikk/EmojifyGateVuln-ProofOfConcept,3,3,/Chocapikk/EmojifyGateVuln-ProofOfConcept/blob/main/README.md,2,1,/Chocapikk/EmojifyGateVuln-ProofOfConcept/blob/main/exploit.py,2,1,/Chocapikk/EmojifyGateVuln-ProofOfConcept/blob/main/requirements.txt,1,1,,,,,,,,,,,,,,,,,,
2026-04-03,/Chocapikk/EmojifyGateVuln-ProofOfConcept,3,3,/Chocapikk/EmojifyGateVuln-ProofOfConcept/blob/main/README.md,2,1,/Chocapikk/EmojifyGateVuln-ProofOfConcept/blob/main/exploit.py,2,1,/Chocapikk/EmojifyGateVuln-ProofOfConcept/blob/main/requirements.txt,1,1,,,,,,,,,,,,,,,,,,
2026-04-04,/Chocapikk/EmojifyGateVuln-ProofOfConcept,3,3,/Chocapikk/EmojifyGateVuln-ProofOfConcept/blob/main/README.md,2,1,/Chocapikk/EmojifyGateVuln-ProofOfConcept/blob/main/exploit.py,2,1,/Chocapikk/EmojifyGateVuln-ProofOfConcept/blob/main/requirements.txt,1,1,,,,,,,,,,,,,,,,,,
2026-04-05,/Chocapikk/EmojifyGateVuln-ProofOfConcept,2,2,/Chocapikk/EmojifyGateVuln-ProofOfConcept/blob/main/README.md,2,1,/Chocapikk/EmojifyGateVuln-ProofOfConcept/blob/main/exploit.py,2,1,/Chocapikk/EmojifyGateVuln-ProofOfConcept/blob/main/requirements.txt,1,1,,,,,,,,,,,,,,,,,,
2026-04-06,/Chocapikk/EmojifyGateVuln-ProofOfConcept,2,2,/Chocapikk/EmojifyGateVuln-ProofOfConcept/blob/main/README.md,2,1,/Chocapikk/EmojifyGateVuln-ProofOfConcept/blob/main/exploit.py,2,1,/Chocapikk/EmojifyGateVuln-ProofOfConcept/blob/main/requirements.txt,1,1,,,,,,,,,,,,,,,,,,
2026-04-07,/Chocapikk/EmojifyGateVuln-ProofOfConcept,2,2,/Chocapikk/EmojifyGateVuln-ProofOfConcept/blob/main/README.md,2,1,/Chocapikk/EmojifyGateVuln-ProofOfConcept/blob/main/exploit.py,2,1,/Chocapikk/EmojifyGateVuln-ProofOfConcept/blob/main/requirements.txt,1,1,,,,,,,,,,,,,,,,,,
2026-04-08,/Chocapikk/EmojifyGateVuln-ProofOfConcept,2,2,/Chocapikk/EmojifyGateVuln-ProofOfConcept/blob/main/README.md,2,1,/Chocapikk/EmojifyGateVuln-ProofOfConcept/blob/main/exploit.py,2,1,/Chocapikk/EmojifyGateVuln-ProofOfConcept/blob/main/requirements.txt,1,1,,,,,,,,,,,,,,,,,,
2026-04-09,/Chocapikk/EmojifyGateVuln-ProofOfConcept,3,3,/Chocapikk/EmojifyGateVuln-ProofOfConcept/blob/main/README.md,2,1,/Chocapikk/EmojifyGateVuln-ProofOfConcept/blob/main/exploit.py,2,1,/Chocapikk/EmojifyGateVuln-ProofOfConcept/blob/main/requirements.txt,1,1,,,,,,,,,,,,,,,,,,
2026-04-10,/Chocapikk/EmojifyGateVuln-ProofOfConcept,3,3,/Chocapikk/EmojifyGateVuln-ProofOfConcept/blob/main/README.md,2,1,/Chocapikk/EmojifyGateVuln-ProofOfConcept/blob/main/exploit.py,2,1,/Chocapikk/EmojifyGateVuln-ProofOfConcept/blob/main/requirements.txt,1,1,,,,,,,,,,,,,,,,,,
